"trial","subject_id","net","vignette","response_1","response_2","response_3","discrete_response_1","discrete_response_2","discrete_response_3","truth","discrete_answer","raw_err1","raw_err2","raw_err3","err1","err2","err3","overestimate","discrete_correct_1","discrete_correct_2","discrete_correct_3","abs_chg_err","chg_err","acc1","acc2","acc3"
74,357,"Social",2.7,0,1,1,"A","A","A",5,"A",-5,-4,-4,5,4,4,FALSE,TRUE,TRUE,TRUE,1,-1,-5,-4,-4
74,133,"Social",2.7,NA,5,5,NA,"A","A",5,"A",NA,0,0,NA,0,0,NA,NA,TRUE,TRUE,NA,NA,NA,0,0
74,710,"Social",2.7,1,1,1,"A","A","A",5,"A",-4,-4,-4,4,4,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-4,-4
74,628,"Social",2.7,15,7.5,6,"B","B","B",5,"A",10,2.5,1,10,2.5,1,TRUE,FALSE,FALSE,FALSE,9,-9,-10,-2.5,-1
74,1036,"Social",2.7,15,10,10,"A","A","A",5,"A",10,5,5,10,5,5,TRUE,TRUE,TRUE,TRUE,5,-5,-10,-5,-5
74,350,"Social",2.7,25,0,0,"A","A","A",5,"A",20,-5,-5,20,5,5,TRUE,TRUE,TRUE,TRUE,15,-15,-20,-5,-5
74,553,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
74,285,"Social",2.7,2,5,5,"A","A","A",5,"A",-3,0,0,3,0,0,FALSE,TRUE,TRUE,TRUE,3,-3,-3,0,0
74,996,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
74,691,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
74,574,"Social",2.7,5,2,2,"A","A","A",5,"A",0,-3,-3,0,3,3,FALSE,TRUE,TRUE,TRUE,3,3,0,-3,-3
75,755,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
75,373,"Social",2.7,3,2,2,"A","A","A",5,"A",-2,-3,-3,2,3,3,FALSE,TRUE,TRUE,TRUE,1,1,-2,-3,-3
75,874,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
75,1177,"Social",2.7,0,10,5,"A","A","A",5,"A",-5,5,0,5,5,0,FALSE,TRUE,TRUE,TRUE,5,-5,-5,-5,0
75,532,"Social",2.7,15,15,NA,"A","A",NA,5,"A",10,10,NA,10,10,NA,TRUE,TRUE,TRUE,NA,NA,NA,-10,-10,NA
74,1151,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
74,641,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
74,485,"Social",2.7,2,7,3,"A","A","A",5,"A",-3,2,-2,3,2,2,FALSE,TRUE,TRUE,TRUE,1,-1,-3,-2,-2
74,81,"Social",2.7,15,10,10,"A","A","A",5,"A",10,5,5,10,5,5,TRUE,TRUE,TRUE,TRUE,5,-5,-10,-5,-5
75,1117,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
75,102,"Social",2.7,10,7.5,7.5,"A","A","A",5,"A",5,2.5,2.5,5,2.5,2.5,TRUE,TRUE,TRUE,TRUE,2.5,-2.5,-5,-2.5,-2.5
75,217,"Social",2.7,51,15,3,"A","A","A",5,"A",46,10,-2,46,10,2,TRUE,TRUE,TRUE,TRUE,44,-44,-46,-10,-2
75,1138,"Social",2.7,1,5,3,"A","A","A",5,"A",-4,0,-2,4,0,2,FALSE,TRUE,TRUE,TRUE,2,-2,-4,0,-2
75,132,"Social",2.7,0,NA,1,"A","A","A",5,"A",-5,NA,-4,5,NA,4,FALSE,TRUE,TRUE,TRUE,1,-1,-5,NA,-4
75,788,"Social",2.7,10,5,5,"A","A","A",5,"A",5,0,0,5,0,0,TRUE,TRUE,TRUE,TRUE,5,-5,-5,0,0
74,385,"Social",2.7,0,1,1,"A","A","A",5,"A",-5,-4,-4,5,4,4,FALSE,TRUE,TRUE,TRUE,1,-1,-5,-4,-4
75,1108,"Social",2.7,2,5,2,"A","A","A",5,"A",-3,0,-3,3,0,3,FALSE,TRUE,TRUE,TRUE,0,0,-3,0,-3
74,726,"Social",2.7,75,2,10,"C","A","A",5,"A",70,-3,5,70,3,5,TRUE,FALSE,TRUE,TRUE,65,-65,-70,-3,-5
75,272,"Social",2.7,5,8,3,"A","A","A",5,"A",0,3,-2,0,3,2,FALSE,TRUE,TRUE,TRUE,2,2,0,-3,-2
75,1093,"Social",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
75,524,"Social",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
75,258,"Social",2.7,30,10,10,"A","A","A",5,"A",25,5,5,25,5,5,TRUE,TRUE,TRUE,TRUE,20,-20,-25,-5,-5
75,830,"Social",2.7,5,4,4,"A","A","A",5,"A",0,-1,-1,0,1,1,FALSE,TRUE,TRUE,TRUE,1,1,0,-1,-1
76,242,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
76,109,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
76,307,"Control",2.7,0,NA,0,"A",NA,"A",5,"A",-5,NA,-5,5,NA,5,FALSE,TRUE,NA,TRUE,0,0,-5,NA,-5
76,1114,"Control",2.7,70,10,10,"A","A","A",5,"A",65,5,5,65,5,5,TRUE,TRUE,TRUE,TRUE,60,-60,-65,-5,-5
76,605,"Control",2.7,5,0,0,"A","B","B",5,"A",0,-5,-5,0,5,5,FALSE,TRUE,FALSE,FALSE,5,5,0,-5,-5
76,1149,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
76,1154,"Control",2.7,0,10,10,"A","A","B",5,"A",-5,5,5,5,5,5,FALSE,TRUE,TRUE,FALSE,0,0,-5,-5,-5
76,1088,"Control",2.7,50,0,0,"A","A","A",5,"A",45,-5,-5,45,5,5,TRUE,TRUE,TRUE,TRUE,40,-40,-45,-5,-5
76,1047,"Control",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
76,257,"Control",2.7,1,1,1,"A","A","A",5,"A",-4,-4,-4,4,4,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-4,-4
76,127,"Control",2.7,5,5,5,"A","A","A",5,"A",0,0,0,0,0,0,FALSE,TRUE,TRUE,TRUE,0,0,0,0,0
76,898,"Control",2.7,0,0,NA,"A","A",NA,5,"A",-5,-5,NA,5,5,NA,FALSE,TRUE,TRUE,NA,NA,NA,-5,-5,NA
76,154,"Control",2.7,30,40,30,"A","A","A",5,"A",25,35,25,25,35,25,TRUE,TRUE,TRUE,TRUE,0,0,-25,-35,-25
76,978,"Control",2.7,5,NA,0,"A","A","B",5,"A",0,NA,-5,0,NA,5,FALSE,TRUE,TRUE,FALSE,5,5,0,NA,-5
76,1020,"Control",2.7,5,5,NA,"A","A",NA,5,"A",0,0,NA,0,0,NA,FALSE,TRUE,TRUE,NA,NA,NA,0,0,NA
76,238,"Control",2.7,1,1,1,"A","A","A",5,"A",-4,-4,-4,4,4,4,FALSE,TRUE,TRUE,TRUE,0,0,-4,-4,-4
76,414,"Control",2.7,50,50,40,"A","A","A",5,"A",45,45,35,45,45,35,TRUE,TRUE,TRUE,TRUE,10,-10,-45,-45,-35
76,557,"Control",2.7,NA,28,23,NA,"C","C",5,"A",NA,23,18,NA,23,18,NA,NA,FALSE,FALSE,NA,NA,NA,-23,-18
76,281,"Control",2.7,10,5,5,"A","A","A",5,"A",5,0,0,5,0,0,TRUE,TRUE,TRUE,TRUE,5,-5,-5,0,0
76,718,"Control",2.7,0,0,0,"A","A","A",5,"A",-5,-5,-5,5,5,5,FALSE,TRUE,TRUE,TRUE,0,0,-5,-5,-5
76,316,"Control",2.7,5,NA,NA,"A",NA,NA,5,"A",0,NA,NA,0,NA,NA,FALSE,TRUE,NA,NA,NA,NA,0,NA,NA
76,405,"Control",2.7,20,0,5,"A","A","A",5,"A",15,-5,0,15,5,0,TRUE,TRUE,TRUE,TRUE,15,-15,-15,-5,0
76,483,"Control",2.7,5,5,NA,"B","B",NA,5,"A",0,0,NA,0,0,NA,FALSE,FALSE,FALSE,NA,NA,NA,0,0,NA
76,636,"Control",2.7,30,30,30,"A","A","A",5,"A",25,25,25,25,25,25,TRUE,TRUE,TRUE,TRUE,0,0,-25,-25,-25
